Rank(w), Word, Freq(w), r*P(w), log(r), log(Freq(w)) 
189,let,100,0.10996683539884797,2.2764618041732443,2.0,
190,eyes,99,0.1094431838017106,2.278753600952829,1.99563519459755,
191,look,98,0.10890789550241461,2.2810333672477277,1.9912260756924949,
192,thus,98,0.10947809390818641,2.2833012287035497,1.9912260756924949,
193,Stubb,98,0.11004829231395823,2.285557309007774,1.9912260756924949,
194,she,98,0.11061849071973003,2.287801729930226,1.9912260756924949,
195,This,96,0.10891953220457322,2.290034611362518,1.9822712330395684,
196,side,95,0.10833769709664282,2.292256071356476,1.9777236052888478,
197,What,95,0.1088904404491767,2.294466226161593,1.9777236052888478,
198,think,95,0.1094431838017106,2.296665190261531,1.9777236052888478,
199,poor,94,0.10883807528946296,2.298853076409707,1.9731278535996986,
200,So,93,0.10822133007505673,2.3010299956639813,1.968482948553935,
201,too,92,0.10759294815849188,2.303196057420489,1.9637878273455553,
202,THE,91,0.10695292953976843,2.305351369446624,1.9590413923210936,
203,get,91,0.1074823994879851,2.307496037913213,1.9590413923210936,
204,few,90,0.10682492581602374,2.3096301674258988,1.954242509439325,
205,feet,90,0.10734857741316112,2.311753861055754,1.954242509439325,
206,day,90,0.10787222901029848,2.3138672203691533,1.954242509439325,
207,say,89,0.1071914819340199,2.315970345456918,1.9493900066449128,
208,White,89,0.10770931518007797,2.3180633349627615,1.9493900066449128,
209,went,89,0.10822714842613604,2.3201462861110542,1.9493900066449128,
210,another,88,0.10752312794554024,2.322219294733919,1.9444826721501687,
211,along,88,0.108035142840519,2.3242824552976926,1.9444826721501687,
212,back,88,0.10854715773549777,2.326335860928751,1.9444826721501687,
213,things,86,0.10658055507069296,2.3283796034387376,1.9344984512435677,
214,sperm,86,0.10708093326351312,2.330413773349191,1.9344984512435677,
215,boats,85,0.10633036597428289,2.3324384599156054,1.9294189257142926,
216,heard,85,0.10682492581602374,2.3344537511509307,1.9294189257142926,
217,whose,85,0.10731948565776459,2.3364597338485296,1.9294189257142926,
218,There,85,0.10781404549950543,2.3384564936046046,1.9294189257142926,
219,certain,84,0.10703438645487869,2.3404441148401185,1.9242792860618816,
220,shall,82,0.10496305347064643,2.342422680822206,1.9138138523837167,
221,half,82,0.10544015825914936,2.3443922736851106,1.9138138523837167,
222,seem,81,0.10462558910804678,2.346352974450639,1.9084850188786497,
223,At,81,0.10509687554547041,2.3483048630481607,1.9084850188786497,
224,nothing,80,0.10426485134112992,2.3502480183341627,1.9030899869919435,
225,strange,80,0.10473031942747425,2.3521825181113627,1.9030899869919435,
226,high,80,0.10519578751381858,2.3541084391474008,1.9030899869919435,
227,hands,79,0.10434048990516087,2.3560258571931225,1.8976270912904414,
228,whaling,78,0.10347355559434457,2.357934847000454,1.8920946026904804,
229,going,78,0.10392738697853028,2.359835482339888,1.8920946026904804,
230,stood,78,0.10438121836271601,2.361727836017593,1.8920946026904804,
231,does,77,0.10349101064758248,2.3636119798921444,1.8864907251724818,
232,seems,76,0.10258916623029034,2.3654879848909,1.8808135922807914,
233,sometimes,76,0.10303136091231745,2.367355921026019,1.8808135922807914,
234,Moby,76,0.10347355559434457,2.369215857410143,1.8808135922807914,
235,always,75,0.1025484377727352,2.3710678622717363,1.8750612633917,
236,world,75,0.10298481410368301,2.3729120029701067,1.8750612633917,
237,nor,75,0.10342119043463083,2.374748346010104,1.8750612633917,
238,am,74,0.10247279920870425,2.376576957056512,1.8692317197309762,
239,wild,74,0.10290335718857276,2.3783979009481375,1.8692317197309762,
240,life,73,0.10193751090940828,2.380211241711606,1.863322860120456,
241,They,72,0.10096002792808519,2.3820170425748683,1.8573324964312685,
242,times,72,0.10137894920579507,2.383815365980431,1.8573324964312685,
243,Pequod,72,0.10179787048350497,2.385606273598312,1.8573324964312685,
244,water,71,0.10079711409786467,2.387389826338729,1.8512583487190752,
245,young,71,0.10121021702449526,2.3891660843645326,1.8512583487190752,
246,present,69,0.09876069122010822,2.3909351071033793,1.8388490907372552,
247,place,69,0.0991621574445802,2.392696953259666,1.8388490907372552,
248,body,69,0.09956362366905219,2.3944516808262164,1.8388490907372552,
249,hold,68,0.09851632047477744,2.3961993470957363,1.8325089127062364,
250,known,68,0.09891196834817013,2.3979400086720375,1.8325089127062364,
251,vast,68,0.09930761622156281,2.399673721481038,1.8325089127062364,
252,whether,68,0.09970326409495549,2.401400540781544,1.8325089127062364,
253,put,68,0.10009891196834816,2.403120521175818,1.8325089127062364,
254,standing,68,0.10049455984174085,2.404833716619938,1.8325089127062364,
255,dead,67,0.09940652818991098,2.406540180433955,1.8260748027008264,
256,black,67,0.09979635771222435,2.4082399653118496,1.8260748027008264,
257,because,67,0.10018618723453773,2.4099331233312946,1.8260748027008264,
258,Starbuck,67,0.10057601675685111,2.41161970596323,1.8260748027008264,
259,sight,67,0.10096584627916448,2.413299764081252,1.8260748027008264,
260,living,66,0.09984290452085878,2.4149733479708178,1.8195439355418688,
261,beneath,66,0.10022691569209286,2.416640507338281,1.8195439355418688,
262,hard,65,0.09908651888054926,2.4183012913197452,1.8129133566428555,
263,crew,65,0.09946471170070402,2.419955748489758,1.8129133566428555,
264,right,65,0.09984290452085878,2.4216039268698313,1.8129133566428555,
265,give,65,0.10022109734101356,2.423245873936808,1.8129133566428555,
266,also,64,0.09905160877407343,2.424881636631067,1.806179973983887,
267,moment,64,0.0994239832431489,2.4265112613645754,1.806179973983887,
268,ere,64,0.09979635771222435,2.428134794028789,1.806179973983887,
269,cannot,64,0.10016873218129982,2.429752280002408,1.806179973983887,
270,large,63,0.09897015185896317,2.4313637641589874,1.7993405494535817,
271,four,63,0.09933670797695933,2.432969290874406,1.7993405494535817,
272,often,63,0.09970326409495549,2.4345689040341987,1.7993405494535817,
273,keep,62,0.09848141036830162,2.436162647040756,1.792391689498254,
274,looked,62,0.09884214813521848,2.437750562820388,1.792391689498254,
275,stand,61,0.0976028393553267,2.439332693830263,1.7853298350107671,
276,rather,61,0.09795775877116425,2.4409090820652177,1.7853298350107671,
277,having,61,0.0983126781870018,2.4424797690644486,1.7853298350107671,
278,years,60,0.09705009600279281,2.444044795918076,1.7781512503836436,
279,set,60,0.09739919706755105,2.4456042032735974,1.7781512503836436,
280,line,60,0.0977482981323093,2.4471580313422194,1.7781512503836436,
281,end,60,0.09809739919706754,2.44870631990508,1.7781512503836436,
282,Nor,59,0.09680572525746203,2.450249108319361,1.7708520116421442,
283,face,59,0.09714900797114098,2.45178643552429,1.7708520116421442,
284,turned,58,0.09583987897829754,2.4533183400470375,1.7634279935629373,
285,To,58,0.09617734334089718,2.45484486000851,1.7634279935629373,
286,near,58,0.09651480770349682,2.456366033129043,1.7634279935629373,
287,within,58,0.09685227206609646,2.4578818967339924,1.7634279935629373,
288,captain,57,0.09551405131785652,2.459392487759231,1.7558748556724915,
289,matter,57,0.09584569732937685,2.4608978427565478,1.7558748556724915,
290,night,57,0.09617734334089718,2.462397997898956,1.7558748556724915,
291,reason,56,0.09481584918834002,2.4638929889859074,1.7481880270062005,
292,general,56,0.09514167684878105,2.4653828514484184,1.7481880270062005,
293,open,56,0.09546750450922209,2.4668676203541096,1.7481880270062005,
294,left,56,0.09579333216966311,2.4683473304121573,1.7481880270062005,
295,lay,55,0.09440274626170943,2.469822015978163,1.7403626894942439,
296,That,55,0.09472275557107115,2.4712917110589387,1.7403626894942439,
297,live,55,0.09504276488043288,2.4727564493172123,1.7403626894942439,
298,point,55,0.09536277418979461,2.4742162640762553,1.7403626894942439,
299,peculiar,55,0.09568278349915633,2.4756711883244296,1.7403626894942439,
300,iron,55,0.09600279280851806,2.4771212547196626,1.7403626894942439,
301,feel,54,0.09457147844300925,2.4785664955938436,1.7323937598229686,
302,With,54,0.09488566940129167,2.4800069429571505,1.7323937598229686,
303,ships,54,0.09519986035957409,2.481442628502305,1.7323937598229686,
304,since,54,0.09551405131785652,2.482873583608754,1.7323937598229686,
305,days,53,0.09405364519695118,2.484299839346786,1.724275869600789,
306,looking,53,0.0943620178041543,2.48572142648158,1.724275869600789,
307,His,53,0.09467039041135743,2.4871383754771865,1.724275869600789,
308,find,53,0.09497876301856054,2.4885507165004443,1.724275869600789,
309,best,52,0.09348926514225868,2.4899584794248346,1.7160033436347992,
310,however,52,0.09379181939838249,2.4913616938342726,1.7160033436347992,
311,better,52,0.09409437365450632,2.4927603890268375,1.7160033436347992,
312,mind,52,0.09439692791063013,2.494154594018443,1.7160033436347992,
313,heart,52,0.09469948216675395,2.4955443375464483,1.7160033436347992,
314,least,51,0.09317507418397626,2.496929648073215,1.7075701760979363,
315,entire,51,0.09347181008902077,2.4983105537896004,1.7075701760979363,
316,goes,51,0.09376854599406528,2.499687082618404,1.7075701760979363,
317,God,51,0.09406528189910979,2.5010592622177517,1.7075701760979363,
318,call,51,0.0943620178041543,2.5024271199844326,1.7075701760979363,
319,length,51,0.09465875370919881,2.503790683057181,1.7075701760979363,
320,further,51,0.09495548961424333,2.505149978319906,1.7075701760979363,
321,began,51,0.09525222551928783,2.506505032404872,1.7075701760979363,
322,sail,51,0.09554896142433235,2.507855871695831,1.7075701760979363,
323,hundred,50,0.09396636993076163,2.509202522331103,1.6989700043360187,
324,If,50,0.09425728748472682,2.510545010206612,1.6989700043360187,
325,sun,50,0.09454820503869203,2.5118833609788744,1.6989700043360187,
326,why,50,0.09483912259265724,2.513217600067939,1.6989700043360187,
327,second,50,0.09513004014662245,2.514547752660286,1.6989700043360187,
328,thousand,50,0.09542095770058766,2.515873843711679,1.6989700043360187,
329,OF,49,0.0937976377494618,2.5171958979499744,1.6901960800285136,
330,arm,49,0.0940827369523477,2.5185139398778875,1.6901960800285136,
331,turn,49,0.0943678361552336,2.519827993775719,1.6901960800285136,
332,case,49,0.09465293535811951,2.5211380837040362,1.6901960800285136,
333,less,49,0.09493803456100541,2.5224442335063197,1.6901960800285136,
334,true,49,0.09522313376389131,2.5237464668115646,1.6901960800285136,
335,took,49,0.09550823296677721,2.525044807036845,1.6901960800285136,
336,instant,49,0.09579333216966311,2.526339277389844,1.6901960800285136,
337,When,48,0.09411764705882353,2.5276299008713385,1.6812412373755872,
338,order,48,0.09439692791063013,2.5289167002776547,1.6812412373755872,
339,Right,48,0.09467620876243672,2.530199698203082,1.6812412373755872,
340,perhaps,48,0.09495548961424333,2.531478917042255,1.6812412373755872,
341,hear,48,0.09523477046604992,2.5327543789924976,1.6812412373755872,
342,comes,48,0.09551405131785652,2.534026106056135,1.6812412373755872,
343,How,48,0.09579333216966311,2.5352941200427703,1.6812412373755872,
344,By,47,0.0940711002501891,2.53655844257153,1.6720978579357175,
345,fine,47,0.09434456275091639,2.537819095073274,1.6720978579357175,
346,taken,47,0.09461802525164369,2.5390760987927767,1.6720978579357175,
347,lower,47,0.09489148775237098,2.5403294747908736,1.6720978579357175,
348,deck,47,0.09516495025309828,2.5415792439465807,1.6720978579357175,
349,taking,47,0.09543841275382557,2.5428254269591797,1.6720978579357175,
350,forth,47,0.09571187525455285,2.5440680443502757,1.6720978579357175,
351,curious,47,0.09598533775528015,2.545307116465824,1.6720978579357175,
352,New,47,0.09625880025600744,2.546542663478131,1.6720978579357175,
353,turning,47,0.09653226275673474,2.5477747053878224,1.6720978579357175,
354,Jonah,46,0.09474602897538838,2.5490032620257876,1.662757831681574,
355,close,46,0.09501367312503636,2.550228353055094,1.662757831681574,
356,name,46,0.09528131727468435,2.5514499979728753,1.662757831681574,
357,several,46,0.09554896142433235,2.552668216112193,1.662757831681574,
358,business,46,0.09581660557398033,2.5538830266438746,1.662757831681574,
359,kept,45,0.09399546168615815,2.5550944485783194,1.6532125137753437,
360,thee,45,0.09425728748472682,2.5563025007672873,1.6532125137753437,
361,above,45,0.09451911328329551,2.5575072019056577,1.6532125137753437,
362,broad,45,0.0947809390818642,2.558708570533166,1.6532125137753437,
363,eye,45,0.09504276488043288,2.5599066250361124,1.6532125137753437,
364,All,45,0.09530459067900157,2.561101383649056,1.6532125137753437,
365,harpooneer,45,0.09556641647757026,2.5622928644564746,1.6532125137753437,
366,leg,44,0.09369872578111363,2.5634810853944106,1.6434526764861874,
367,Now,44,0.09395473322860301,2.5646660642520893,1.6434526764861874,
368,themselves,44,0.09421074067609239,2.5658478186735176,1.6434526764861874,
369,got,44,0.09446674812358177,2.56702636615906,1.6434526764861874,
370,touching,44,0.09472275557107115,2.568201724066995,1.6434526764861874,
371,used,44,0.09497876301856054,2.569373909615046,1.6434526764861874,
372,mighty,43,0.0930703438645488,2.5705429398818973,1.6334684555795864,
373,Indian,43,0.09332053296095887,2.571708831808688,1.6334684555795864,
374,dark,43,0.09357072205736894,2.5728716022004803,1.6334684555795864,
375,enough,43,0.09382091115377902,2.574031267727719,1.6334684555795864,
376,slowly,43,0.0940711002501891,2.575187844927661,1.6334684555795864,
377,air,43,0.09432128934659917,2.576341350205793,1.6334684555795864,
378,ivory,42,0.09237214173503229,2.5774917998372255,1.6232492903979006,
379,means,42,0.09261651248036307,2.578639209968072,1.6232492903979006,
380,next,42,0.09286088322569384,2.57978359661681,1.6232492903979006,
381,making,42,0.0931052539710246,2.5809249756756194,1.6232492903979006,
382,myself,42,0.09334962471635538,2.582063362911709,1.6232492903979006,
383,word,42,0.09359399546168616,2.583198773968623,1.6232492903979006,
384,coming,42,0.09383836620701694,2.584331224367531,1.6232492903979006,
385,suddenly,42,0.0940827369523477,2.5854607295085006,1.6232492903979006,
386,noble,42,0.09432710769767848,2.586587304671755,1.6232492903979006,
387,run,41,0.09231977657531855,2.5877109650189114,1.6127838567197355,
388,common,41,0.09255832896957003,2.5888317255942073,1.6127838567197355,
389,rolled,41,0.0927968813638215,2.5899496013257077,1.6127838567197355,
390,whatever,41,0.09303543375807297,2.591064607026499,1.6127838567197355,
391,running,41,0.09327398615232443,2.5921767573958667,1.6127838567197355,
392,Not,41,0.0935125385465759,2.593286067020457,1.6127838567197355,
393,oil,41,0.09375109094082737,2.5943925503754266,1.6127838567197355,
394,English,41,0.09398964333507884,2.595496221825574,1.6127838567197355,
395,mere,41,0.0942281957293303,2.59659709562646,1.6127838567197355,
396,especially,40,0.09216268109617734,2.597695185925512,1.6020599913279623,
397,light,40,0.09239541513934951,2.598790506763115,1.6020599913279623,
398,wide,40,0.09262814918252167,2.5998830720736876,1.6020599913279623,
399,caught,40,0.09286088322569384,2.6009728956867484,1.6020599913279623,
400,gone,40,0.093093617268866,2.6020599913279625,1.6020599913279623,
401,ten,40,0.09332635131203817,2.603144372620182,1.6020599913279623,
402,deep,40,0.09355908535521033,2.60422605308447,1.6020599913279623,
403,broken,40,0.09379181939838249,2.6053050461411096,1.6020599913279623,
404,whalemen,40,0.09402455344155466,2.606381365110605,1.6020599913279623,
405,fish,40,0.09425728748472682,2.6074550232146687,1.6020599913279623,
406,sat,40,0.094490021527899,2.6085260335771943,1.6020599913279623,
407,quite,40,0.09472275557107115,2.60959440922522,1.6020599913279623,
408,straight,40,0.09495548961424333,2.61066016308988,1.6020599913279623,
