Name of Restaurant, City, Country Code, Day of Week, Start Time, End Time
163 Vietnamese Sandwiches & Bubble Tea,Boston,US,4,07:30am,07:30am
163 Vietnamese Sandwiches & Bubble Tea,Boston,US,5,07:30am,07:30am
163 Vietnamese Sandwiches & Bubble Tea,Boston,US,6,07:30am,07:30am
1760,San Francisco,US,0,5:00pm,5:00pm
1760,San Francisco,US,1,5:00pm,5:00pm
1760,San Francisco,US,2,5:00pm,5:00pm
1760,San Francisco,US,3,5:00pm,5:00pm
1760,San Francisco,US,4,5:00pm,5:00pm
1760,San Francisco,US,5,11:00am,11:00am
1760,San Francisco,US,5,5:00pm,5:00pm
1760,San Francisco,US,6,11:00am,11:00am
1760,San Francisco,US,6,5:00pm,5:00pm
1806,Melbourne,AU,0,5:00pm,5:00pm
1806,Melbourne,AU,1,5:00pm,5:00pm
1806,Melbourne,AU,2,5:00pm,5:00pm
1806,Melbourne,AU,3,5:00pm,5:00pm
1806,Melbourne,AU,4,4:00pm,4:00pm
1806,Melbourne,AU,5,5:00pm,5:00pm
1806,Melbourne,AU,6,6:00pm,6:00pm
1907 Restaurant,Perth,AU,1,11:00am,11:00am
1907 Restaurant,Perth,AU,1,6:00pm,6:00pm
1907 Restaurant,Perth,AU,2,11:00am,11:00am
1907 Restaurant,Perth,AU,2,6:00pm,6:00pm
1907 Restaurant,Perth,AU,3,11:00am,11:00am
1907 Restaurant,Perth,AU,3,6:00pm,6:00pm
1907 Restaurant,Perth,AU,4,11:00am,11:00am
1907 Restaurant,Perth,AU,4,6:00pm,6:00pm
1907 Restaurant,Perth,AU,5,11:00am,11:00am
1907 Restaurant,Perth,AU,5,6:00pm,6:00pm
1912 Dining Bar,Sydney,AU,0,4:00pm,4:00pm
1912 Dining Bar,Sydney,AU,1,4:00pm,4:00pm
1912 Dining Bar,Sydney,AU,2,4:00pm,4:00pm
1912 Dining Bar,Sydney,AU,3,4:00pm,4:00pm
1912 Dining Bar,Sydney,AU,4,4:00pm,4:00pm
1912 Dining Bar,Sydney,AU,5,4:00pm,4:00pm
